feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
three_modality_scores_qa_sts,svr_rbf,2,0.20939111831248658,1.5648004827841635,1.9524427054990199,199,41,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,ridge,3,0.009856392383403079,1.6546601286139337,2.0731970448152746,193,47,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,hist_gbr,3,-0.2873481068860648,1.921408277245976,2.363956531486905,193,47,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,3,0.013507814690375874,1.659897628129035,2.0693707765897575,193,47,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,extra_trees,3,0.06949945706388172,1.6095312755691662,2.0097859347844076,193,47,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,svr_rbf,3,-0.07571967778704503,1.7036816713525684,2.160931715900542,193,47,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,ridge,4,-0.16628184545083213,2.111149015359291,2.6477401287776434,205,35,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,hist_gbr,4,-0.14594209882199483,2.117547782828519,2.624550521465059,205,35,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,gbr,4,-0.05918341234553215,2.0247537591689597,2.523243628491937,205,35,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,extra_trees,4,-0.007048799964411767,1.9646376900084306,2.4603611347180934,205,35,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_qa_sts,svr_rbf,4,-0.06600783532505572,2.0659921503928325,2.531359330443375,205,35,3,Three STS cosine scores using Q+A framing to focus the modality.
three_modality_scores_retrieval_doc,ridge,0,0.1389346226616026,1.7428380439748064,2.1154727132910245,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,hist_gbr,0,-0.028890018158408637,1.926258060847306,2.312457934732539,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,gbr,0,0.10659936767097078,1.7567793007534067,2.154827414496754,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,extra_trees,0,0.0842023946175301,1.7826156251169805,2.1816702837534887,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,svr_rbf,0,-0.013662151101550224,1.8574719339842307,2.295281624255128,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,ridge,1,-0.08068511917008547,1.9404861097931063,2.2833285453011416,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,hist_gbr,1,0.1308907282471503,1.7317946250245677,2.047651349461026,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,gbr,1,0.05111800045431436,1.7803008630532273,2.1395622389138422,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,extra_trees,1,-0.014882381679657719,1.918561297132509,2.212721099048303,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,svr_rbf,1,-0.03748299809925948,1.9195583421941331,2.237223201432187,186,54,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,ridge,2,0.04564839546603405,1.7452112978872167,2.145120325372077,199,41,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,hist_gbr,2,-0.14862595953308566,1.8106142747018308,2.353351330360434,199,41,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,gbr,2,-0.24061995430889516,1.8239970639366905,2.4457768782603297,199,41,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,extra_trees,2,0.09889863950058664,1.6431773628359079,2.08441541659004,199,41,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,svr_rbf,2,-0.08452837935554003,1.7885232117666718,2.2867459276521496,199,41,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,ridge,3,-0.07619170432616862,1.7649066022753952,2.1614057730683567,193,47,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,hist_gbr,3,-0.3282426145248005,1.79931215357743,2.401210269033607,193,47,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,gbr,3,-0.17923919635414665,1.6562018210545357,2.262520069026398,193,47,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,extra_trees,3,-0.099402131241217,1.7527894373740436,2.1845891601871186,193,47,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,svr_rbf,3,-0.5072690225248935,2.0139335296533587,2.5579195069839114,193,47,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,ridge,4,-0.039074013696248855,1.9929106042096922,2.499176000628533,205,35,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,hist_gbr,4,-0.12617295699818176,1.9812214219300635,2.60181340589885,205,35,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,gbr,4,0.047549794680792457,1.852861350006456,2.392735757298898,205,35,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,extra_trees,4,0.026893876635672,1.8531842590264915,2.418542383858869,205,35,3,Three cosine scores using Retrieval-document embeddings.
three_modality_scores_retrieval_doc,svr_rbf,4,-0.17461258872020413,2.063429138811322,2.657179696922378,205,35,3,Three cosine scores using Retrieval-document embeddings.
