feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
whole_text_one_score,svr_rbf,23,0.003051492972179548,1.8887212260624642,2.3609633861754937,2220,538,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,24,-0.0011817762501427076,2.060439167882061,2.539104888167348,2206,552,1,Mean-only baseline.
whole_text_one_score,hist_gbr,24,0.004715921051946292,2.0337630547556085,2.531615244002267,2206,552,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,24,0.05290908029000507,1.998120704688624,2.4695624329749797,2206,552,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,24,0.05500767782076177,1.9947447855515368,2.466824843764697,2206,552,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,24,0.018157574360288087,1.99255649135789,2.514461965232722,2206,552,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,25,-7.522453946529062e-05,1.9989889705882353,2.4434455161770225,2214,544,1,Mean-only baseline.
whole_text_one_score,hist_gbr,25,-0.041144332524858385,2.0295155849520405,2.4931120345011344,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,25,0.03877433885053094,1.9657429588346915,2.3955156009602105,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,25,0.03603513983527995,1.9658019714762862,2.398926415981561,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,25,0.02144326399593599,1.9320505000251256,2.4170149174153663,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,26,-0.0035034320761042625,2.0790394727271053,2.527298565975435,2219,539,1,Mean-only baseline.
whole_text_one_score,hist_gbr,26,0.028976936537867037,2.048439105509951,2.4860616403389884,2219,539,1,"One cosine score after concatenating visual, texture, and flavor."
